Part,Amount,Price,Link
Buck Power Converter Step Down Voltage Regulator 12V-5V 20A,1,$26.19,https://www.aliexpress.us/item/3256806445858334.html?spm=a2g0o.cart.0.0.742038dazTbZ1p&mp=1&pdp_npi=6%40dis%21USD%21USD+26.19%21USD+26.19%21%21USD+26.19%21%21%21%402101ca8b17881203541565017e0e76%2112000037877472884%21ct%21US%216359134517%21%211%210%21&gatewayAdapt=glo2usa
USB Female port,4,$2.91,https://www.aliexpress.us/item/2255800984460804.html?spm=a2g0o.cart.0.0.742038dazTbZ1p&mp=1&pdp_npi=6%40dis%21USD%21USD+2.91%21USD+2.91%21%21USD+2.91%21%21%21%402101ca8b17881203541565017e0e76%2112000052246244306%21ct%21US%216359134517%21%211%210%21&gatewayAdapt=glo2usa
Female Wall Socket,4,$3.09,https://www.aliexpress.us/item/2255799950902957.html?spm=a2g0o.cart.0.0.742038dazTbZ1p&mp=1&pdp_npi=6%40dis%21USD%21USD+3.09%21USD+3.09%21%21USD+3.09%21%21%21%402101ca8b17881203541565017e0e76%2110000000412254835%21ct%21US%216359134517%21%212%210%21&gatewayAdapt=glo2usa
Power Supply 12V 120W,1,$11.08,https://www.aliexpress.us/item/3256807161025414.html?spm=a2g0o.cart.0.0.742038dazTbZ1p&mp=1&pdp_npi=6%40dis%21USD%21USD+11.08%21USD+11.08%21%21USD+10.97%21%21%21%402101ca8b17881203541565017e0e76%2112000040387111145%21ct%21US%216359134517%21%212%210%21&gatewayAdapt=glo2usa
MOSFET Relay LR7843-30V 161A,4,$7.71,https://www.aliexpress.us/item/3256805438795816.html?spm=a2g0o.cart.0.0.742038dazTbZ1p&mp=1&pdp_npi=6%40dis%21USD%21USD+7.71%21USD+7.71%21%21USD+7.71%21%21%21%402101ca8b17881206844632683e0e76%2112000052735209265%21ct%21US%216359134517%21%213%210%21&gatewayAdapt=glo2usa
8-channel Relay with optocoupler,1,$5.87,https://www.aliexpress.us/item/3256811743748492.html?spm=a2g0o.cart.0.0.742038dazTbZ1p&mp=1&pdp_npi=6%40dis%21USD%21USD+11.75%21USD+5.87%21%21USD+5.81%21%21%21%402101ca8b17881206844632683e0e76%2112000057053925896%21ct%21US%216359134517%21%211%210%21&gatewayAdapt=glo2usa
ESP-32,1,$4.72,https://www.aliexpress.us/item/3256808317516268.html?spm=a2g0o.cart.0.0.742038dazTbZ1p&mp=1&pdp_npi=6%40dis%21USD%21USD+4.72%21USD+4.72%21%21USD+4.72%21%21%21%402101ca8b17881206844632683e0e76%2112000045457574256%21ct%21US%216359134517%21%211%210%21&gatewayAdapt=glo2usa
FE2.1 Based USB 2.0 7 Port Hub Splitter,1,$7.40+$5.52(sipping),https://www.aliexpress.us/item/3256809182802772.html?spm=a2g0o.cart.0.0.742038dazTbZ1p&mp=1&pdp_npi=6%40dis%21USD%21USD+9.25%21USD+7.40%21%21USD+7.40%21%21%21%402101ca8b17881208414901970e0e76%2112000048890257449%21ct%21US%216359134517%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&gatewayAdapt=glo2usa
Approximate Total, , ,$107.74
